	RaceHorses_832x448_30.yuv 832 448 30			BasketballDrill_832x448_50.yuv 832 448 50			BQMall_832x448_60.yuv 832 448 60			PartyScene_832x448_50.yuv 832 448 50		
	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 
c0	195.20 	37.11 	5198.39 	103.72 	38.84 	3782.84 	79.98 	38.67 	4869.27 	136.90 	36.65 	9626.30 	
SearchRange=32	193.11 	37.11 	5245.52 	105.47 	38.83 	3803.00 	86.69 	38.67 	4869.32 	144.18 	36.66 	9623.90 	
SearchRange=16	203.55 	37.08 	5330.53 	109.07 	38.82 	3825.71 	82.66 	38.67 	4886.97 	133.64 	36.66 	9628.55 	
SearchRange=8	193.46 	37.03 	5469.23 	108.76 	38.80 	3873.38 	86.05 	38.65 	4947.96 	131.20 	36.65 	9622.76 	
PSliceSearch8x16=0	186.43 	37.11 	5198.39 	102.03 	38.84 	3782.84 	79.12 	38.67 	4869.27 	134.67 	36.65 	9626.30 	
NumberReferenceFrames=3	180.50 	37.07 	5274.47 	103.74 	38.68 	3922.40 	78.44 	38.65 	4919.60 	131.20 	36.66 	9624.56 	
NumberReferenceFrames=2	187.64 	36.94 	5545.00 	110.92 	38.47 	4159.47 	81.99 	38.55 	5167.67 	156.57 	35.77 	11176.16 	
NumberReferenceFrames=1	175.42 	36.70 	5919.84 	111.71 	38.04 	4497.64 	82.58 	38.27 	5581.20 	161.37 	35.26 	12226.80 	
PSliceSearch4x8=0	186.43 	37.11 	5198.39 	101.99 	38.84 	3782.84 	79.18 	38.67 	4869.27 	134.53 	36.65 	9626.30 	
BSliceSearch8x4=0	178.50 	37.11 	5205.33 	97.34 	38.83 	3786.47 	75.47 	38.67 	4875.64 	138.00 	36.65 	9633.71 	
BReferencePictures=1	176.56 	37.30 	5422.36 	94.88 	38.97 	4064.37 	73.03 	38.84 	5264.21 	129.04 	36.86 	10209.77 	
BReferencePictures=0	180.73 	37.30 	5422.36 	94.67 	38.97 	4064.37 	72.90 	38.84 	5264.21 	124.10 	36.86 	10209.77 	
BSliceSearch8x8=0	166.50 	37.10 	5214.20 	91.81 	38.83 	3793.95 	71.90 	38.67 	4883.81 	120.77 	36.65 	9654.34 	
UseRDOQuant=0	57.34 	37.30 	5853.41 	51.56 	38.46 	3823.09 	41.61 	38.27 	4830.20 	55.51 	36.28 	10189.03 	
WeightedPrediction=0	187.60 	37.11 	5198.39 	101.96 	38.84 	3782.84 	79.26 	38.67 	4869.27 	134.67 	36.65 	9626.30 	
BiPredMESubPel=1	180.05 	37.11 	5207.34 	98.60 	38.83 	3787.32 	76.21 	38.67 	4876.44 	130.16 	36.65 	9636.33 	
BiPredMESubPel=0	172.88 	37.10 	5214.01 	93.79 	38.83 	3796.78 	72.52 	38.66 	4891.20 	124.07 	36.65 	9660.08 	
BSliceSearch8x16=0	167.87 	37.10 	5245.65 	92.36 	38.82 	3802.60 	71.79 	38.66 	4892.16 	121.85 	36.64 	9659.80 	
SearchMode=2	387.49 	37.08 	5270.53 	173.72 	38.82 	3827.92 	121.51 	38.67 	4920.01 	242.45 	36.64 	9744.43 	
SearchMode=1	310.23 	37.04 	5431.91 	141.82 	38.79 	3873.00 	104.57 	38.63 	4968.77 	190.63 	36.64 	9768.55 	
SearchMode=0	4383.65 	37.13 	5199.19 	3835.67 	38.86 	3817.92 	3070.99 	38.68 	4893.32 	3588.00 	36.66 	9679.69 	
EPZSPattern=4	198.06 	37.11 	5195.90 	106.83 	38.83 	3778.40 	81.65 	38.67 	4863.47 	139.20 	36.65 	9616.23 	
