	RaceHorses_832x480_30.yuv 832x480 30		
	Time 	PSNR 	Bitrate 
c0	81.81 	34.98 	2244.84 	
me=umh	85.95 	34.96 	2237.97 	
me=hex	52.31 	34.96 	2285.46 	
me=dia	51.59 	34.96 	2299.83 	
ctu=32	56.48 	34.94 	2244.33 	
ctu=16	30.83 	34.90 	2289.78 	
bframes=3	79.38 	34.98 	2244.84 	
bframes=2	81.35 	35.00 	2267.67 	
bframes=1	79.33 	35.01 	2293.86 	
bframes=0	95.91 	35.12 	2412.99 	
tu-inter-depth=2	76.04 	34.96 	2249.10 	
tu-inter-depth=1	74.13 	34.95 	2242.80 	
merange=32	60.39 	34.96 	2249.01 	
merange=16	52.55 	34.96 	2278.29 	
merange=8	49.06 	34.96 	2430.63 	
merange=0	45.74 	34.74 	3196.89 	
max-merge=4	78.42 	34.96 	2239.56 	
max-merge=3	78.30 	34.97 	2250.36 	
max-merge=2	77.91 	34.97 	2247.09 	
max-merge=1	82.24 	34.96 	2265.81 	
rdpenalty=1	81.98 	34.97 	2241.15 	
rdpenalty=0	86.78 	34.97 	2240.40 	
rd=4	49.28 	34.86 	2306.01 	
rd=2	44.34 	34.88 	2477.04 	
rd=1	12.81 	34.52 	3091.38 	
rd=0	19.48 	24.22 	5078.04 	
tu-intra-depth=2	80.26 	34.97 	2243.94 	
tu-intra-depth=1	81.49 	34.95 	2243.61 	
no-rect	35.46 	34.93 	2299.32 	
no-amp	70.30 	34.96 	2255.25 	
wpp	66.65 	34.96 	2252.28 	
no-weightp	87.30 	34.98 	2244.75 	
no-weightb	88.60 	34.98 	2244.54 	
no-sao	86.07 	34.92 	2246.19 	
tskip	89.63 	34.98 	2249.82 	
tskip-fast	82.97 	34.98 	2244.84 	
early-skip	65.07 	34.84 	2214.27 	
fast-cbf	60.96 	34.92 	2236.44 	
no-b-intra	75.07 	34.96 	2253.36 	
fast-intra	79.17 	34.98 	2244.84 	
no-lft	79.78 	34.89 	2247.18 	
ref=4	80.99 	34.98 	2244.84 	
ref=3	73.66 	34.98 	2244.39 	
ref=2	64.93 	34.97 	2252.85 	
ref=1	51.96 	34.95 	2260.08 	
subme=6	82.61 	34.96 	2243.97 	
subme=4	69.80 	34.95 	2247.78 	
subme=2	74.20 	34.94 	2257.83 	
subme=0	64.53 	34.90 	2284.32 	



	RaceHorses_832x480_30.yuv 832x480 30		
	Time 	PSNR 	Bitrate 
me=umh	-0.05 	0.00 	0.00 	
me=hex	0.36 	0.00 	-0.02 	
me=dia	0.37 	0.00 	-0.02 	
ctu=32	0.31 	0.00 	0.00 	
ctu=16	0.62 	0.00 	-0.02 	
bframes=3	0.03 	0.00 	0.00 	
bframes=2	0.01 	-0.00 	-0.01 	
bframes=1	0.03 	-0.00 	-0.02 	
bframes=0	-0.17 	-0.00 	-0.07 	
tu-inter-depth=2	0.07 	0.00 	-0.00 	
tu-inter-depth=1	0.09 	0.00 	0.00 	
merange=32	0.26 	0.00 	-0.00 	
merange=16	0.36 	0.00 	-0.01 	
merange=8	0.40 	0.00 	-0.08 	
merange=0	0.44 	0.01 	-0.42 	
max-merge=4	0.04 	0.00 	0.00 	
max-merge=3	0.04 	0.00 	-0.00 	
max-merge=2	0.05 	0.00 	-0.00 	
max-merge=1	-0.01 	0.00 	-0.01 	
